title,year,country,director,actor_1,actor_2,ratingKP
Темный рыцарь,2008,США,Кристофер Нолан,Кристиан Бэйл,Хит Леджер,8.52
"Поймай меня, если сможешь",2002,США,Стивен Спилберг,Леонардо ДиКаприо,Том Хэнкс,8.527
Мстители,2012,США,Джосс Уидон,Роберт Дауни мл.,Крис Эванс,7.893
Джентльмены удачи,1971,СССР,Александр Серый,Евгений Леонов,Георгий Вицин,8.543
Джанго освобожденный,2012,США,Квентин Тарантино,Джейми Фокс,Кристоф Вальц,8.232
Бриллиантовая рука,1968,СССР,Леонид Гайдай,Юрий Никулин,Андрей Миронов,8.514
Дэдпул,2016,США,Тим Миллер,Райан Рейнольдс,Морена Баккарин,7.56
Ford против Ferrari,2019,США,Джеймс Мэнголд,Кристиан Бэйл,Мэтт Дэймон,8.24
Шерлок Холмс,2009,США,Гай Ричи,Роберт Дауни мл.,Джуд Лоу,8.063
Гладиатор,2000,США,Ридли Скотт,Рассел Кроу,Хоакин Феникс,8.583
"Кавказская пленница, или Новые приключения Шурика",1966,СССР,Леонид Гайдай,Александр Демьяненко,Наталья Варлей,8.463
Властелин колец: Братство Кольца,2001,Новая,Питер Джексон,Элайджа Вуд,Иэн Маккеллен,8.604
Назад в будущее,1985,США,Роберт Земекис,Майкл Дж. Фокс,Кристофер Ллойд,8.644
Марсианин,2015,США,Ридли Скотт,Мэтт Дэймон,Джессика Честейн,7.759
Гарри Поттер и узник Азкабана,2004,Великобритания,Альфонсо Куарон,Дэниэл Рэдклифф,Руперт Гринт,8.22
Леон,1994,Франция,Люк Бессон,Жан Рено,Натали Портман,8.668
Железный человек,2008,США,Джон Фавро,Роберт Дауни мл.,Джефф Бриджес,7.96
Пираты Карибского моря: Сундук мертвеца,2006,США,Гор Вербински,Джонни Депп,Орландо Блум,8.137
Иллюзия обмана,2013,США,Луи Летерье,Джесси Айзенберг,Марк Руффало,7.715
Достучаться до небес,1997,Германия,Томас Ян,Тиль Швайгер,Ян Йозеф Лиферс,8.635
Москва слезам не верит,1979,СССР,Владимир Меньшов,Вера Алентова,Ирина Муравьёва,8.423
Гарри Поттер и Тайная комната,2002,Великобритания,Крис Коламбус,Дэниэл Рэдклифф,Руперт Гринт,8.123
Престиж,2006,Великобритания,Кристофер Нолан,Хью Джекман,Кристиан Бэйл,8.518
Холоп,2019,Россия,Клим Шипенко,Милош Бикович,Александра Бортич,6.765
Пятый элемент,1997,Франция,Люк Бессон,Брюс Уиллис,Милла Йовович,8.111
Лига справедливости Зака Снайдера,2021,США,Зак Снайдер,Бен Аффлек,Галь Гадот,7.831
Исчезнувшая,2014,США,Дэвид Финчер,Бен Аффлек,Розамунд Пайк,7.959
Бесславные ублюдки,2009,Германия,Квентин Тарантино,Брэд Питт,Кристоф Вальц,7.984
Законопослушный гражданин,2009,США,Ф. Гэри Грей,Джейми Фокс,Джерард Батлер,7.999
Главный герой,2021,США,Шон Леви,Райан Рейнольдс,Джоди Комер,7.386
Дьявол носит Prada,2006,США,Дэвид Фрэнкел,Мэрил Стрип,Энн Хэтэуэй,7.688
