title,year,country,director,actor_1,actor_2,ratingKP
Гарри Поттер и Кубок огня,2005,Великобритания,Майк Ньюэлл,Дэниэл Рэдклифф,Руперт Гринт,7.946
Стражи Галактики. Часть 2,2017,США,Джеймс Ганн,Крис Пратт,Зои Салдана,7.768
Брюс Всемогущий,2003,США,Том Шэдьяк,Джим Керри,Морган Фриман,7.747
Операция «Фортуна»: Искусство побеждать,2022,Великобритания,Гай Ричи,Джейсон Стэйтем,Обри Плаза,7.105
"Карты, деньги, два ствола",1998,Великобритания,Гай Ричи,Джейсон Флеминг,Декстер Флетчер,8.557
Служебный роман,1977,СССР,Эльдар Рязанов,Андрей Мягков,Алиса Фрейндлих,8.316
Человек-паук: Вдали от дома,2019,США,Джон Уоттс,Том Холланд,Сэмюэл Л. Джексон,7.416
Аквамен,2018,США,Джеймс Ван,Джейсон Момоа,Эмбер Хёрд,6.846
Паразиты,2019,Корея,Пон Джун-хо,Сон Кан-хо,Ли Сон-гюн,8.02
Хатико: Самый верный друг,2008,США,Лассе Халльстрём,Ричард Гир,Джоан Аллен,8.349
Константин: Повелитель тьмы,2005,США,Фрэнсис Лоуренс,Киану Ривз,Рэйчел Вайс,7.852
Эффект бабочки,2003,США,Эрик Бресс,Эштон Кутчер,Эми Смарт,8.169
Отряд самоубийц,2016,США,Дэвид Эйр,Марго Робби,Уилл Смит,6.092
Темный рыцарь: Возрождение легенды,2012,США,Кристофер Нолан,Кристиан Бэйл,Том Харди,8.163
Молчание ягнят,1990,США,Джонатан Демме,Джоди Фостер,Энтони Хопкинс,8.335
Дэдпул 2,2018,США,Дэвид Литч,Райан Рейнольдс,Джош Бролин,7.44
Список Шиндлера,1993,США,Стивен Спилберг,Лиам Нисон,Бен Кингсли,8.843
Время,2011,США,Эндрю Никкол,Джастин Тимберлейк,Аманда Сайфред,7.276
Игры разума,2001,США,Рон Ховард,Рассел Кроу,Эд Харрис,8.546
Всё везде и сразу,2021,США,Дэн Кван,Мишель Йео,Джейми Ли Кёртис,7.222
Батя,2020,Россия,Дмитрий Ефимович,Владимир Вдовиченков,Андрей Андреев,7.621
Гарри Поттер и Орден Феникса,2007,Великобритания,Дэвид Йейтс,Дэниэл Рэдклифф,Руперт Гринт,7.826
День сурка,1993,США,Харольд Рэмис,Билл Мюррей,Энди Макдауэлл,8.137
Kingsman: Секретная служба,2015,Великобритания,Мэттью Вон,Тэрон Эджертон,Колин Фёрт,7.676
Отель «Гранд Будапешт»,2014,США,Уэс Андерсон,Рэйф Файнс,Тони Револори,7.933
Семь,1995,США,Дэвид Финчер,Брэд Питт,Морган Фриман,8.294
Предложение,2009,США,Энн Флетчер,Сандра Буллок,Райан Рейнольдс,7.665
Загадочная история Бенджамина Баттона,2008,США,Дэвид Финчер,Брэд Питт,Кейт Бланшетт,8.06
Гарри Поттер и Принц-полукровка,2009,Великобритания,Дэвид Йейтс,Дэниэл Рэдклифф,Руперт Гринт,7.815
Чарли и шоколадная фабрика,2005,США,Тим Бёртон,Джонни Депп,Фредди Хаймор,7.615
Маска,1994,США,Чак Рассел,Джим Керри,Кэмерон Диас,7.983
Богемская рапсодия,2018,Великобритания,Брайан Сингер,Рами Малек,Люси Бойнтон,8.009
Я – легенда,2007,США,Фрэнсис Лоуренс,Уилл Смит,Алиси Брага,7.865
Легенда №17,2012,Россия,Николай Лебедев,Данила Козловский,Олег Меньшиков,7.968
Шан-Чи и легенда десяти колец,2021,США,Дестин Дэниел Креттон,Симу Лю,Тони Люн Чу Вай,7.328
Фантастические твари и где они обитают,2016,Великобритания,Дэвид Йейтс,Эдди Редмэйн,Кэтрин Уотерстон,7.603
Гарри Поттер и Дары Смерти: Часть I,2010,Великобритания,Дэвид Йейтс,Дэниэл Рэдклифф,Руперт Гринт,7.892
Терминатор 2: Судный день,1991,США,Джеймс Кэмерон,Арнольд Шварценеггер,Линда Хэмилтон,8.34
Джон Уик,2014,США,Чад Стахелски,Киану Ривз,Микаэл Нюквист,6.977
Счастливое число Слевина,2005,США,Пол Макгиган,Джош Хартнетт,Брюс Уиллис,8.122
Послезавтра,2004,США,Роланд Эммерих,Деннис Куэйд,Джейк Джилленхол,7.677
Лулу и Бриггс,2021,США,Рид Каролин,Ченнинг Татум,Итан Сапли,7.386
Отступники,2006,США,Мартин Скорсезе,Леонардо ДиКаприо,Мэтт Дэймон,8.455
Железный человек 2,2010,США,Джон Фавро,Роберт Дауни мл.,Микки Рурк,7.462
Железный человек 3,2013,США,Шейн Блэк,Роберт Дауни мл.,Гвинет Пэлтроу,7.456
Человек-паук,2002,США,Сэм Рэйми,Тоби Магуайр,Уиллем Дефо,7.688
Вечное сияние чистого разума,2004,США,Мишель Гондри,Джим Керри,Кейт Уинслет,8.039
Люди в чёрном,1997,США,Барри Зонненфельд,Томми Ли Джонс,Уилл Смит,8.005
В бой идут одни «старики»,1973,СССР,Леонид Быков,Леонид Быков,Сергей Подгорный,8.715
По соображениям совести,2016,Австралия,Мэл Гибсон,Эндрю Гарфилд,Сэм Уортингтон,8.208
Хоббит: Пустошь Смауга,2013,Новая,Питер Джексон,Мартин Фриман,Ричард Армитедж,8.018
Оно,2017,США,Андрес Мускетти,Джейден Мартелл,Джереми Рэй Тейлор,7.305
Веном 2,2021,США,Энди Серкис,Том Харди,Вуди Харрельсон,6.156
Великий Гэтсби,2013,Австралия,Баз Лурман,Леонардо ДиКаприо,Тоби Магуайр,7.944
Мстители: Эра Альтрона,2015,США,Джосс Уидон,Роберт Дауни мл.,Крис Хемсворт,7.259
Исходный код,2011,США,Дункан Джонс,Джейк Джилленхол,Мишель Монахэн,7.767
Тор,2011,США,Кеннет Брана,Крис Хемсворт,Натали Портман,7.094
Адвокат дьявола,1997,США,Тейлор Хэкфорд,Киану Ривз,Аль Пачино,8.167
Игра,1997,США,Дэвид Финчер,Майкл Дуглас,Шон Пенн,8.258
Терминал,2004,США,Стивен Спилберг,Том Хэнкс,Кэтрин Зета-Джонс,8.116
Семь жизней,2008,США,Габриэле Муччино,Уилл Смит,Розарио Доусон,8.206
Последний богатырь,2017,Россия,Дмитрий Дьяченко,Виктор Хориняк,Мила Сивацкая,7.028
"Три билборда на границе Эббинга, Миссури",2017,Великобритания,Мартин Макдона,Фрэнсис Макдорманд,Сэм Рокуэлл,8.141
Чебурашка,2022,Россия,Дмитрий Дьяченко,Сергей Гармаш,Ольга Кузьмина,7.273
Изгой,2000,США,Роберт Земекис,Том Хэнкс,Хелен Хант,8.253
Трансформеры,2007,США,Майкл Бэй,Шайа ЛаБаф,Меган Фокс,7.577
Аладдин,2019,США,Гай Ричи,Мена Массуд,Наоми Скотт,7.32
Шестое чувство,1999,США,М. Найт Шьямалан,Брюс Уиллис,Хэйли Джоэл Осмент,8.187
2012,2009,США,Роланд Эммерих,Джон Кьюсак,Аманда Пит,6.903
Сумерки,2008,США,Кэтрин Хардвик,Кристен Стюарт,Роберт Паттинсон,6.693
Движение вверх,2017,Россия,Антон Мегердичев,Владимир Машков,Андрей Смоляков,7.477
Бэтмен: Начало,2005,США,Кристофер Нолан,Кристиан Бэйл,Кэти Холмс,7.928
Алиса в Стране чудес,2010,США,Тим Бёртон,Джонни Депп,Миа Васиковска,7.127
Реквием по мечте,2000,США,Даррен Аронофски,Джаред Лето,Марлон Уайанс,7.994
Конёк-Горбунок,2021,Россия,Олег Погодин,Антон Шагин,Павел Деревянко,6.917
Одиннадцать друзей Оушена,2001,США,Стивен Содерберг,Джордж Клуни,Брэд Питт,8.084
Звёздные войны: Эпизод 1 – Скрытая угроза,1999,США,Джордж Лукас,Лиам Нисон,Юэн Макгрегор,7.929
Американская история X,1998,США,Тони Кэй,Эдвард Нортон,Эдвард Ферлонг,8.296
Чёрная Вдова,2021,США,Кейт Шортланд,Скарлетт Йоханссон,Флоренс Пью,6.311
Назад в будущее 3,1990,США,Роберт Земекис,Майкл Дж. Фокс,Кристофер Ллойд,8.192
Пианист,2002,Франция,Роман Полански,Эдриан Броуди,Эмилия Фокс,8.464
Король говорит!,2010,Великобритания,Том Хупер,Колин Фёрт,Джеффри Раш,8.015
Стажёр,2015,США,Нэнси Майерс,Роберт Де Ниро,Энн Хэтэуэй,7.613
"Знакомьтесь, Джо Блэк",1998,США,Мартин Брест,Брэд Питт,Энтони Хопкинс,8.067
Я худею,2018,Россия,Алексей Нужный,Александра Бортич,Ирина Горбачева,6.872
Собачье сердце,1988,СССР,Владимир Бортко,Владимир Толоконников,Евгений Евстигнеев,8.374
День курка,2019,США,Джо Карнахан,Фрэнк Грилло,Мэл Гибсон,7.146
Принц Персии: Пески времени,2010,США,Майк Ньюэлл,Джейк Джилленхол,Джемма Артертон,7.331
Логан,2017,США,Джеймс Мэнголд,Хью Джекман,Патрик Стюарт,7.646
Прибытие,2016,США,Дени Вильнёв,Эми Адамс,Джереми Реннер,7.599
Первый мститель: Другая война,2014,США,Энтони Руссо,Крис Эванс,Скарлетт Йоханссон,7.27
Всегда говори «ДА»,2008,США,Пейтон Рид,Джим Керри,Зои Дешанель,7.809
Век Адалин,2015,США,Ли Толанд Кригер,Блейк Лайвли,Михил Хёйсман,7.729
Тор 2: Царство тьмы,2013,США,Алан Тейлор,Крис Хемсворт,Натали Портман,7.238
Иллюзия обмана 2,2016,США,Джон М. Чу,Джесси Айзенберг,Марк Руффало,6.649
Книга Илая,2009,США,Альберт Хьюз,Дензел Вашингтон,Гари Олдман,7.15
Пролетая над гнездом кукушки,1975,США,Милош Форман,Джек Николсон,Луиза Флетчер,8.518
Огонь,2020,Россия,Алексей Нужный,Константин Хабенский,Иван Янковский,7.785
Апгрейд,2018,Австралия,Ли Уоннелл,Логан Маршалл-Грин,Мелани Валльехо,7.587
Пол: Секретный материальчик,2011,Великобритания,Грег Моттола,Саймон Пегг,Ник Фрост,7.239
Жмурки,2005,Россия,Алексей Балабанов,Алексей Панин,Дмитрий Дюжев,7.211
Амели,2001,Франция,Жан-Пьер Жёне,Одри Тоту,Матьё Кассовиц,8.015
Человек-паук 3: Враг в отражении,2007,США,Сэм Рэйми,Тоби Магуайр,Кирстен Данст,7.102
Добро пожаловать в Zомбилэнд,2009,США,Рубен Фляйшер,Джесси Айзенберг,Вуди Харрельсон,7.435
Риддик,2013,Канада,Дэвид Туи,Вин Дизель,Хорди Молья,6.666
Чёрный лебедь,2010,США,Даррен Аронофски,Натали Портман,Мила Кунис,7.736
Новый Человек-паук,2012,США,Марк Уэбб,Эндрю Гарфилд,Эмма Стоун,6.926
Джон Уик 2,2017,США,Чад Стахелски,Киану Ривз,Риккардо Скамарчо,7.083
Отпетые мошенницы,2019,США,Крис Эддисон,Энн Хэтэуэй,Ребел Уилсон,6.506
Мистер и миссис Смит,2005,США,Даг Лайман,Брэд Питт,Анджелина Джоли,7.536
Мы — Миллеры,2013,США,Роусон Маршалл Тёрбер,Дженнифер Энистон,Джейсон Судейкис,7.248
Сплит,2017,США,М. Найт Шьямалан,Джеймс МакЭвой,Аня Тейлор-Джой,7.013
Убийство в Восточном экспрессе,2017,США,Кеннет Брана,Кеннет Брана,Пенелопа Крус,6.885
Бегущий в лабиринте,2014,США,Уэс Болл,Дилан О’Брайен,Томас Сэнгстер,6.816
Мумия,1999,США,Стивен Соммерс,Брендан Фрейзер,Рэйчел Вайс,7.809
Старикам тут не место,2007,США,Итан Коэн,Томми Ли Джонс,Джош Бролин,7.799
Прометей,2012,США,Ридли Скотт,Нуми Рапас,Майкл Фассбендер,7.019
Звёздные войны: Эпизод 4 – Новая надежда,1977,США,Джордж Лукас,Марк Хэмилл,Харрисон Форд,8.116
Троя,2004,США,Вольфганг Петерсен,Брэд Питт,Эрик Бана,8.041
Шерлок Холмс: Игра теней,2011,США,Гай Ричи,Роберт Дауни мл.,Джуд Лоу,7.852
Человек-муравей,2015,США,Пейтон Рид,Пол Радд,Майкл Дуглас,7.1
Джон Уик 3,2019,США,Чад Стахелски,Киану Ривз,Холли Берри,6.902
Беспринципные в деревне,2023,Россия,Роман Прыгунов,Павел Деревянко,Оксана Акиньшина,6.494
Социальная сеть,2010,США,Дэвид Финчер,Джесси Айзенберг,Эндрю Гарфилд,7.729
Грязь,2013,Великобритания,Джон С. Бейрд,Джеймс МакЭвой,Джейми Белл,7.634
Человек-паук 2,2004,США,Сэм Рэйми,Тоби Магуайр,Кирстен Данст,7.338
Вторая жизнь Уве,2015,Швеция,Ханнес Холм,Рольф Лассгор,Бахар Парс,8.184
Фантастические твари: Преступления Грин-де-Вальда,2018,Великобритания,Дэвид Йейтс,Эдди Редмэйн,Джонни Депп,6.71
Крепкий орешек,1988,США,Джон МакТирнан,Брюс Уиллис,Алан Рикман,8.044
Славные парни,2016,США,Шейн Блэк,Райан Гослинг,Ким Бейсингер,7.247
Стрелок,2007,США,Антуан Фукуа,Марк Уолберг,Майкл Пенья,7.673
Привидение,1990,США,Джерри Цукер,Патрик Суэйзи,Деми Мур,8.174
Трасса 60,2001,Канада,Боб Гейл,Джеймс Марсден,Гари Олдман,8.03
В джазе только девушки,1959,США,Билли Уайлдер,Мэрилин Монро,Тони Кертис,8.45
Эквилибриум,2002,США,Курт Уиммер,Кристиан Бэйл,Тэй Диггз,7.884
Ла-Ла Ленд,2016,США,Дэмьен Шазелл,Райан Гослинг,Эмма Стоун,7.963
О чём говорят мужчины,2010,Россия,Дмитрий Дьяченко,Леонид Барац,Александр Демидов,7.79
Терминатор,1984,США,Джеймс Кэмерон,Арнольд Шварценеггер,Майкл Бин,7.978
Механик,2010,США,Саймон Уэст,Джейсон Стэйтем,Бен Фостер,6.763
Меч короля Артура,2017,Великобритания,Гай Ричи,Чарли Ханнэм,Астрид Берже-Фрисби,7.157
Я иду искать,2019,США,Мэттью Беттинелли,Самара Уивинг,Адам Броди,6.934
Иллюзионист,2005,США,Нил Бёргер,Эдвард Нортон,Пол Джаматти,8.005
Жизнь Пи,2012,США,Энг Ли,Сурадж Шарма,Ирфан Кхан,7.833
Голодные игры: И вспыхнет пламя,2013,США,Фрэнсис Лоуренс,Дженнифер Лоуренс,Джош Хатчерсон,7.48
Тихое место,2018,США,Джон Красински,Эмили Блант,Джон Красински,6.82
Девушка с татуировкой дракона,2011,США,Дэвид Финчер,Дэниэл Крэйг,Руни Мара,7.749
Мальчик в полосатой пижаме,2008,Великобритания,Марк Херман,Эйса Баттерфилд,Джек Скэнлон,8.182
Три тысячи лет желаний,2022,Австралия,Джордж Миллер,Тильда Суинтон,Идрис Эльба,7.246
Гран Торино,2008,США,Клинт Иствуд,Клинт Иствуд,Би Ванг,8.144
Облачный атлас,2012,США,Лана Вачовски,Том Хэнкс,Холли Берри,7.743
Телохранитель киллера,2017,США,Патрик Хьюз,Райан Рейнольдс,Сэмюэл Л. Джексон,6.96
Kingsman: Золотое кольцо,2017,Великобритания,Мэттью Вон,Тэрон Эджертон,Колин Фёрт,6.963
Храброе сердце,1995,США,Мэл Гибсон,Мэл Гибсон,Софи Марсо,8.292
Звёздные войны: Эпизод 5 – Империя наносит ответный удар,1980,США,Ирвин Кершнер,Марк Хэмилл,Харрисон Форд,8.142
Во всё тяжкое,2018,США,Уэйн Робертс,Джонни Депп,Розмари ДеУитт,7.306
Люди Икс: Дни минувшего будущего,2014,Великобритания,Брайан Сингер,Хью Джекман,Джеймс МакЭвой,7.729
Последний богатырь: Корень зла,2020,Россия,Дмитрий Дьяченко,Виктор Хориняк,Мила Сивацкая,7.067
Круиз по джунглям,2021,США,Жауме Кольет-Серра,Эмили Блант,Дуэйн Джонсон,6.842
Спасти рядового Райана,1998,США,Стивен Спилберг,Том Хэнкс,Том Сайзмор,8.183
Третий лишний,2012,США,Сет МакФарлейн,Марк Уолберг,Мила Кунис,6.709
Чужой,1979,Великобритания,Ридли Скотт,Сигурни Уивер,Том Скеррит,8.075
Район №9,2009,ЮАР,Нил Бломкамп,Шарлто Копли,Джейсон Коуп,7.771
Треугольник печали,2022,США,Рубен Эстлунд,Харрис Дикинсон,Шарлби Дин,6.531
500 дней лета,500,США,Марк Уэбб,Джозеф Гордон-Левитт,Зои Дешанель,7.638
Реальные упыри,2014,Новая,Джемейн Клемент,Джемейн Клемент,Тайка Вайтити,7.451
9 рота,2005,Россия,Фёдор Бондарчук,Фёдор Бондарчук,Алексей Чадов,6.747
Парфюмер: История одного убийцы,2006,Германия,Том Тыквер,Бен Уишоу,Дастин Хоффман,7.708
Реальная любовь,2003,Великобритания,Ричард Кёртис,Хью Грант,Билл Найи,7.914
Ученик чародея,2010,США,Джон Тёртлтауб,Николас Кейдж,Джей Барушель,6.853
От заката до рассвета,1995,США,Роберт Родригес,Джордж Клуни,Квентин Тарантино,7.794
Оружейный барон,2005,Франция,Эндрю Никкол,Николас Кейдж,Бриджет Мойнэхэн,7.696
Игра в имитацию,2014,Великобритания,Мортен Тильдум,Бенедикт Камбербэтч,Кира Найтли,7.63
Джуманджи,1995,США,Джо Джонстон,Робин Уильямс,Бонни Хант,7.87
127 часов,2010,Великобритания,Дэнни Бойл,Джеймс Франко,Кейт Мара,7.659
Новый Человек-паук: Высокое напряжение,2014,США,Марк Уэбб,Эндрю Гарфилд,Эмма Стоун,6.715
Малефисента: Владычица тьмы,2019,Великобритания,Хоаким Роннинг,Анджелина Джоли,Эль Фаннинг,7.077
Майор Пэйн,1995,США,Ник Касл,Дэймон Уайанс,Майкл Айронсайд,7.606
Гарри Поттер 20 лет спустя: Возвращение в Хогвартс,2022,Великобритания,Кэйси Паттерсон,Дэниэл Рэдклифф,Руперт Гринт,8.079
Последний богатырь: Посланник Тьмы,2021,Россия,Дмитрий Дьяченко,Виктор Хориняк,Мила Сивацкая,6.838
Почему он?,2016,США,Джон Гамбург,Брайан Крэнстон,Джеймс Франко,6.707
Пятьдесят оттенков серого,2015,США,Сэм Тейлор-Джонсон,Дакота Джонсон,Джейми Дорнан,4.413
Бумер,2003,Россия,Пётр Буслов,Владимир Вдовиченков,Андрей Мерзликин,6.999
Голая правда,2009,США,Роберт Лукетич,Кэтрин Хайгл,Джерард Батлер,7.574
Шпион,2015,США,Пол Фиг,Мелисса Маккарти,Джейсон Стэйтем,7.119
Стекло,2019,США,М. Найт Шьямалан,Джеймс МакЭвой,Брюс Уиллис,6.578
Прочь,2017,США,Джордан Пил,Дэниэл Калуя,Эллисон Уильямс,7.137
Ночь в музее,2006,США,Шон Леви,Бен Стиллер,Джейк Черри,7.03
Джуманджи: Зов джунглей,2017,США,Джейк Кэздан,Дуэйн Джонсон,Кевин Харт,6.881
Трансформеры: Месть падших,2009,США,Майкл Бэй,Шайа ЛаБаф,Меган Фокс,7.133
До встречи с тобой,2016,Великобритания,Теа Шэррок,Эмилия Кларк,Сэм Клафлин,7.269
Люди Икс,2000,США,Брайан Сингер,Хью Джекман,Патрик Стюарт,7.682
Великий уравнитель,2014,США,Антуан Фукуа,Дензел Вашингтон,Мартон Чокаш,7.012
Бэтмен против Супермена: На заре справедливости,2016,США,Зак Снайдер,Генри Кавилл,Бен Аффлек,6.759
Фокус,2014,США,Гленн Фикарра,Уилл Смит,Марго Робби,7.069
Джуманджи: Новый уровень,2019,США,Джейк Кэздан,Дуэйн Джонсон,Джек Блэк,6.645
Жизнь Дэвида Гейла,2002,Великобритания,Алан Паркер,Кевин Спейси,Кейт Уинслет,8.075
Боги Египта,2016,США,Алекс Пройас,Брентон Туэйтс,Джерард Батлер,6.08
Пленницы,2013,США,Дени Вильнёв,Хью Джекман,Джейк Джилленхол,7.773
Люди в черном 2,2002,США,Барри Зонненфельд,Томми Ли Джонс,Уилл Смит,7.297
Сияние,1980,США,Стэнли Кубрик,Джек Николсон,Шелли Дювалл,7.776
Человек из стали,2013,США,Зак Снайдер,Генри Кавилл,Эми Адамс,6.932
...А зори здесь тихие,1972,СССР,Станислав Ростоцкий,Елена Драпеко,Екатерина Маркова,8.534
Зодиак,2007,США,Дэвид Финчер,Джейк Джилленхол,Марк Руффало,7.336
Чужие,1986,Великобритания,Джеймс Кэмерон,Сигурни Уивер,Майкл Бин,8.063
Не смотрите наверх,2021,США,Адам Маккей,Леонардо ДиКаприо,Дженнифер Лоуренс,7.504
Люди Икс: Апокалипсис,2016,США,Брайан Сингер,Джеймс МакЭвой,Майкл Фассбендер,6.983
Агенты А.Н.К.Л.,2015,США,Гай Ричи,Генри Кавилл,Арми Хаммер,7.552
Мементо,2000,США,Кристофер Нолан,Гай Пирс,Кэрри-Энн Мосс,7.879
Эдвард руки-ножницы,1990,США,Тим Бёртон,Джонни Депп,Вайнона Райдер,7.991
Мачо и ботан,2012,США,Фил Лорд,Джона Хилл,Ченнинг Татум,7.025
Пока не сыграл в ящик,2007,США,Роб Райнер,Джек Николсон,Морган Фриман,8.049
Лицо со шрамом,1983,США,Брайан Де Пальма,Аль Пачино,Стивен Бауэр,8.17
Судья,2014,США,Дэвид Добкин,Роберт Дауни мл.,Роберт Дювалл,7.863
Жизнь прекрасна,1997,Италия,Роберто Бениньи,Роберто Бениньи,Николетта Браски,8.623
Дело храбрых,2017,США,Джозеф Косински,Джош Бролин,Майлз Теллер,8.139
Джек Ричер,2012,США,Кристофер Маккуорри,Том Круз,Розамунд Пайк,7.184
«V» значит Вендетта,2006,Великобритания,Джеймс МакТиг,Натали Портман,Хьюго Уивинг,7.824
Заложница,2007,Великобритания,Пьер Морель,Лиам Нисон,Мэгги Грэйс,7.901
Пипец,2010,Великобритания,Мэттью Вон,Аарон Тейлор-Джонсон,Хлоя Грейс Морец,6.917
Хроники хищных городов,2018,США,Кристиан Риверс,Хера Хильмар,Роберт Шиэн,6.222
Дом Gucci,2021,США,Ридли Скотт,Леди Гага,Адам Драйвер,7.168
Робот по имени Чаппи,2015,США,Нил Бломкамп,Шарлто Копли,Дев Патель,7.187
Типа крутые легавые,2007,Великобритания,Эдгар Райт,Саймон Пегг,Ник Фрост,7.647
Ничего хорошего в отеле «Эль Рояль»,2018,США,Дрю Годдард,Джефф Бриджес,Синтия Эриво,7.161
Оно 2,2019,США,Андрес Мускетти,Джессика Честейн,Джеймс МакЭвой,6.525
Убойные каникулы,2010,Канада,Илай Крэйг,Тайлер Лабин,Алан Тьюдик,7.637
Револьвер,2005,Великобритания,Гай Ричи,Джейсон Стэйтем,Рэй Лиотта,7.386
Битва за Севастополь,2015,Россия,Сергей Мокрицкий,Юлия Пересильд,Евгений Цыганов,7.619
Гонка,2013,Великобритания,Рон Ховард,Крис Хемсворт,Даниэль Брюль,8.089
Обитель зла,2002,США,Пол У. С. Андерсон,Милла Йовович,Мишель Родригес,7.552
Форсаж 7,2015,США,Джеймс Ван,Вин Дизель,Пол Уокер,7.023
Соник в кино,2020,США,Джефф Фаулер,Джеймс Марсден,Бен Шварц,6.711
Красота по-американски,1999,США,Сэм Мендес,Кевин Спейси,Аннетт Бенинг,7.985
Выстрел в пустоту,2015,США,Рик Роман Во,Николай Костер-Вальдау,Омари Хардвик,7.496
Бойфренд из будущего,2013,Великобритания,Ричард Кёртис,Донал Глисон,Рэйчел Макадамс,7.905
Притворись моей женой,2011,США,Деннис Дуган,Адам Сэндлер,Дженнифер Энистон,7.272
Домовой,2019,Россия,Евгений Бедарев,Сергей Чирков,Екатерина Гусева,7.337
Впритык,2010,США,Тодд Филлипс,Роберт Дауни мл.,Зак Галифианакис,7.236
Форсаж 5,2011,США,Джастин Лин,Вин Дизель,Пол Уокер,7.592
Своя война. Шторм в пустыне,2021,Россия,Алексей Чадов,Алексей Чадов,Виталий Кищенко,7.399
Форсаж 9,2021,США,Джастин Лин,Вин Дизель,Джон Сина,5.684
Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей,1981,СССР,Игорь Масленников,Василий Ливанов,Виталий Соломин,8.623
Призрачный патруль,2013,США,Роберт Швентке,Джефф Бриджес,Райан Рейнольдс,6.377
Мистер Нокаут,2022,Россия,Артём Михалков,Виктор Хориняк,Сергей Безруков,7.591
Другие,2001,Испания,Алехандро Аменабар,Николь Кидман,Финола Флэнаган,7.921
Дневник Бриджит Джонс,2001,Великобритания,Шэрон Магуайр,Рене Зеллвегер,Колин Фёрт,7.456
"Человек, который изменил всё",2011,США,Беннетт Миллер,Брэд Питт,Джона Хилл,7.736
Матрица: Революция,2003,США,Лана Вачовски,Киану Ривз,Хьюго Уивинг,7.623
Трансформеры 3: Тёмная сторона Луны,2011,США,Майкл Бэй,Шайа ЛаБаф,Роузи Хантингтон-Уайтли,6.844
Секс по дружбе,2011,США,Уилл Глак,Джастин Тимберлейк,Мила Кунис,7.132
Маленькие женщины,2019,США,Грета Гервиг,Сирша Ронан,Эмма Уотсон,7.795
Чего хотят женщины,2000,США,Нэнси Майерс,Мэл Гибсон,Хелен Хант,7.725
Том и Джерри,2021,США,Тим Стори,Хлоя Грейс Морец,Майкл Пенья,6.759
"Лжец, лжец",1997,США,Том Шэдьяк,Джим Керри,Мора Тирни,7.768
Умница Уилл Хантинг,1997,США,Гас Ван Сент,Мэтт Дэймон,Робин Уильямс,8.083
Чудо,2017,США,Стивен Чбоски,Джейкоб Тремблей,Оуэн Уилсон,8.099
